Priority Matrix Answer ID,Priority Matrix Environmental Description,Environmental Risk Score,Priority Matrix Production Description,Production Risk Score,Priority Matrix Repair Cost Description,Repair Cost Risk Score,Priority Matrix Safety Description,Safety Risk Score
1032,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1033,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1034,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1035,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1036,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1037,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1038,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1039,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1040,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1041,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1042,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1043,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1044,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1045,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1046,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1047,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1048,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1049,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1050,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1051,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1052,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1053,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1054,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1055,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1056,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1057,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1058,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1059,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1060,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1061,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1062,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1063,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1064,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1065,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1066,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1067,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1068,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1069,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1070,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1071,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1072,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1073,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1074,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1075,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1076,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1077,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1078,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1079,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1080,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1081,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1082,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1083,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1084,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1085,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1086,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1087,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1088,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1089,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1090,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1091,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1092,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1093,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1094,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1095,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1096,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1097,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1098,,0,,0,,0,,0
1099,(D) Minor - Uz GTL Secondary Area Impact,10,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1100,(B) Major - Long-term Impact,20,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(B) Major - Repair <$500k,20,(B) Major - One or more serious injury or Permanent disability,20
1101,,0,,0,,0,,0
1102,,0,,0,,0,,0
1103,,0,,0,,0,,0
1104,,0,,0,,0,,0
1105,(B) Major - Long-term Impact,20,"(A) Catastophic - Massive Impact Curtailment of Production, Full Site Outage >$30MM, 100% Loss",25,(B) Major - Repair <$500k,20,(B) Major - One or more serious injury or Permanent disability,20
1106,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1107,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1108,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1109,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1110,,0,,0,,0,,0
1111,,0,,0,,0,,0
1112,,0,,0,,0,,0
1113,,0,,0,,0,,0
1114,,0,,0,,0,,0
1115,,0,,0,,0,,0
1116,,0,,0,,0,,0
1117,,0,,0,,0,,0
1118,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1119,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1120,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1121,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1122,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1123,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1124,,0,,0,,0,,0
1125,,0,,0,,0,,0
1126,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1127,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1128,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1129,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1130,,0,,0,,0,,0
1131,,0,,0,,0,,0
1132,,0,,0,,0,,0
1133,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1134,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1135,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1136,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1137,,0,,0,,0,,0
1138,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1139,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1140,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1141,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(C) Moderate -Repair <$150k,15,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1142,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1143,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1144,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(C) Moderate -Repair <$150k,15,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1145,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1146,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1147,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1148,,0,,0,,0,,0
1149,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1150,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1151,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1152,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1153,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1154,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1155,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1156,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1157,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1158,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1159,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1160,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
1161,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(C) Moderate - 1/more lost work day case due to work related injury.,15
1162,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
1163,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1164,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1165,,0,,0,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1166,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1167,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1168,,0,,0,,0,,0
1169,,0,,0,,0,,0
1170,,0,,0,,0,,0
1171,,0,,0,,0,,0
1172,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(C) Moderate - 1/more lost work day case due to work related injury.,15
1173,(E) Insignificant - Uz GTL Primary Area Impact,5,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(E) Insignificant - Repair <$5k,5,(A) Catastrophic - 1/more fatalities on-site or 1/more serious injury to a member of the public,25
1174,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(C) Moderate -Repair <$150k,15,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1175,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(C) Moderate -Repair <$150k,15,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1176,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(C) Moderate -Repair <$150k,15,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1177,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(C) Moderate -Repair <$150k,15,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
1178,,0,,0,,0,,0
1179,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
1180,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
